id,order_id,product_id
125384,86236,14235
151956,104671,14235
11373,7846,14235
76647,52643,14159
4644,3242,14159
108287,74360,14159
109376,75102,14159
145345,100046,14159
138687,95464,14159
64424,44227,14159
42842,29481,14159
122008,83889,14159
90561,62178,28700
24568,16934,28700
52004,35738,14202
66708,45773,14202
69179,47466,28700
116588,80159,28700
164235,113127,28700
4888,3418,14202
5738,3985,28700
32091,22090,28700
167218,115183,14202
84042,57724,28700
44175,30381,14202
75896,52131,14202
93949,64514,14202
115835,79624,28700
161064,110920,14202
178129,122678,28700
91631,62914,13629
127651,87795,13629
293,212,13629
13747,9503,13629
52985,36403,13629
103570,71084,13629
154803,106627,13629
28573,19665,13629
82609,56758,13629
157607,108564,13629
144352,99383,14298
66888,45890,14298
56851,39070,14298
98054,67312,14298
12759,8814,12536
30944,21293,12536
123614,85015,12536
85072,58431,12536
88827,60991,12536
113276,77828,12536
155176,106874,12536
50904,34984,13659
10239,7087,15332
85438,58675,15332
89769,61623,15332
155294,106959,13659
156533,107796,13659
46987,32318,9043
58949,40516,9043
101509,69666,9043
76713,52686,3049
77999,53572,9204
80419,55248,3049
92369,63427,3049
106781,73325,9204
131441,90404,9204
134938,92839,9043
169985,117079,3049
85784,58921,9043
147639,101649,9204
4659,3253,9204
23043,15891,9204
52584,36128,9043
71748,49259,3049
113230,77793,9043
118918,81737,3049
121043,83193,3049
153637,105823,3049
78177,53690,14549
24491,16881,14549
25550,17610,14549
83353,57272,14549
150915,103956,14549
130799,89969,14549
120399,82748,14549
31315,21547,14549
142088,97802,14549
25296,17456,13606
173859,119732,13606
47660,32789,13606
80460,55275,13606
130644,89858,13606
20822,14357,13606
138670,95450,13606
38528,26466,13606
160446,110510,28913
9136,6334,28913
31946,21986,28913
119462,82102,28913
13832,9560,28913
136840,94167,28913
53006,36419,13690
106713,73274,15395
103898,71309,15395
170476,117413,15395
78700,54045,15395
104109,71455,13690
135931,93520,13690
22894,15782,15395
24737,17059,15395
69399,47612,13690
106250,72953,13690
66979,45945,15395
70985,48718,15395
156,112,28774
74168,50936,28774
170342,117327,28774
70812,48594,28774
43850,30181,28774
132483,91106,28774
20215,13934,28774
33255,22866,28774
108371,74420,28774
128664,88502,28774
1068,740,28689
70689,48501,28689
155407,107031,28689
45135,31039,28689
63818,43813,28689
14392,9967,13662
15156,10491,28589
43332,29814,15349
88260,60607,29064
111307,76450,29008
117042,80476,13662
146021,100507,28862
146577,100906,28921
177175,122040,28548
178224,122748,13662
13777,9523,29008
15327,10609,15744
16224,11208,28548
24851,17142,28589
30044,20662,13662
40081,27530,29064
45609,31355,9220
48695,33481,14170
78555,53947,28862
79644,54704,14170
90053,61821,29064
115036,79066,28921
132197,90929,28921
138588,95393,15349
157490,108480,15349
8315,5773,28548
23074,15911,28589
33448,22981,29064
48041,33035,15744
51269,35227,28589
52128,35821,13662
72586,49817,29008
132239,90953,14170
154008,106074,13662
158073,108871,29064
160306,110415,28589
166806,114896,28548
17445,12030,28589
28412,19553,9220
29740,20441,28589
34840,23941,28548
46090,31680,14170
